interval,trend
1,-0.0061446
2,-0.01070801
3,0.01350787
4,0.03108396
5,0.05049275
6,0.03088933
7,0.01009042
8,-0.00622509
9,-0.02567321
10,-0.03122672
11,-0.03069663
12,-0.03499825
13,-0.02734986
14,-0.04227127
15,-0.04348779
16,-0.0498163
17,-0.05841191
18,-0.06045293
19,-0.05543034
20,-0.04060815
21,-0.04220957
22,-0.03463688
23,-0.03713429
24,-0.05720559
25,-0.0603952
26,-0.05989071
27,-0.05610982
28,-0.05835453
29,-0.03368824
30,-0.03606685
31,-0.03807356
32,-0.04016527
33,-0.04457648
34,-0.03762159
35,-0.0285753
36,-0.00839101
37,0.00649678
38,0.01828617
39,-0.00559344
40,-0.02629885
41,-0.02986275
42,-0.03321132
43,-0.03342839
44,-0.02501646
45,-0.02760302
46,-0.02451689
47,-0.02765896
48,-0.02863322
49,-0.03832699
50,-0.02967176
51,-0.02106712
52,0.00059081
53,0.01280034
54,0.01522837
55,0.00860941
56,-0.00417236
57,-0.00570333
58,-0.02474759
59,-0.00867246
60,-0.00232273
61,-0.00413169
62,-0.00536569
63,0.01066951
64,-0.00360649
65,-0.01017258
66,0.00848572
67,0.02778952
68,0.05337073
69,0.07004853
70,0.06203453
71,0.03307564
72,0.00851734
73,-0.01331466
74,-0.00797495
75,-0.01242775
76,-0.01243245
77,0.00083686
78,-0.01324024
79,-0.02332994
80,-0.02527323
81,-0.03450083
82,-0.03276625
83,-0.02704998
84,-0.0196596
85,-0.00408843
86,-0.00072935
87,-0.00905997
88,-0.0057492
89,-0.03382522
90,-0.02874205
91,-0.02086547
92,-0.01354849
93,-0.00556882
94,-0.00151444
95,0.01392844
96,0.01134401
97,0.00889859
98,0.02558256
99,0.04657614
100,0.08249552
101,0.10253809
102,0.09387211
103,0.07285042
104,0.05060334
105,0.02125275
106,0.01134397
107,0.01266788
108,0.0122541
109,0.02463311
110,0.01959223
111,0.01220414
112,0.00382856
113,0.00206117
114,0.00569109
115,0.0212175
116,0.03130832
117,0.05012333
118,0.05617365
119,0.04005326
120,0.03011887
121,0.00130939
122,-4.42E-05
123,0.01309245
124,0.01836848
125,0.0111295
126,0.02613323
127,0.02058266
128,0.01080539
129,0.01388402
130,0.01705905
131,0.03388438
132,0.05113621
133,0.06827243
134,0.05685516
135,0.03702859
136,0.01771152
137,-0.00954435
138,-0.01858322
139,-0.02685669
140,-0.02012166
141,-0.02699014
142,-0.02445636
143,-0.03478699
144,-0.03798241
145,-0.04269574
146,-0.05040086
147,-0.04147179
148,-0.03434211
149,-0.02450664
150,-0.02520986
151,-0.02968599
152,-0.04892631
153,-0.05677334
154,-0.05474487
155,-0.06068119
156,-0.04505792
157,-0.03413724
158,-0.02914577
159,-0.03649349
160,-0.05079872
161,-0.04155134
162,-0.02439331
163,-0.02782537
164,-0.00796334
165,0.0123224
166,0.01194794
167,0.00418627
168,-0.02184039
169,-0.03630316
170,-0.04120892
171,-0.03754959
172,-0.03377565
173,-0.01988381
174,-0.01020558
175,-0.03972474
176,-0.04410511
177,-0.04835107
178,-0.03911024
179,-0.0054701
180,-0.01036356
181,0.02991037
182,0.01689276
183,0.02532955
184,-0.00736497
185,-0.00083638
186,-0.01380249
187,0.0031394
188,0.01042008
189,-0.00694423
190,-0.00429864
191,-0.00689215
192,-0.00444877
193,0.00303092
194,0.02162921
195,0.0231667
196,0.06742478
197,0.06989007
