interval,trend
1,-0.020459348
2,-0.021103781
3,-0.02180076
4,-0.023275961
5,-0.02476073
6,-0.026111883
7,-0.027222918
8,-0.028334761
9,-0.028519364
10,-0.028770947
11,-0.029071031
12,-0.029417726
13,-0.029877082
14,-0.030104862
15,-0.03006116
16,-0.029459212
17,-0.028487428
18,-0.027256544
19,-0.02670108
20,-0.026691024
21,-0.026768383
22,-0.027428547
23,-0.027982703
24,-0.02892232
25,-0.03035371
26,-0.032183214
27,-0.033611221
28,-0.0345557
29,-0.035338673
30,-0.035436199
31,-0.035188403
32,-0.034425295
33,-0.033259476
34,-0.032220982
35,-0.03097999
36,-0.030021077
37,-0.028945151
38,-0.02812407
39,-0.026861132
40,-0.025565824
41,-0.024676155
42,-0.023777523
43,-0.02267249
44,-0.021854738
45,-0.020707592
46,-0.019027569
47,-0.016889027
48,-0.01421877
49,-0.011086988
50,-0.008752286
51,-0.007065884
52,-0.00592952
53,-0.005274628
54,-0.004381907
55,-0.003767423
56,-0.003373695
57,-0.003148625
58,-0.003630016
59,-0.004645043
60,-0.005125038
61,-0.005325086
62,-0.005395903
63,-0.005245627
64,-0.004909803
65,-0.004399363
66,-0.003743908
67,-0.00336691
68,-0.002832525
69,-0.002959159
70,-0.00272538
71,-0.002510593
72,-0.002327211
73,-0.002477446
74,-0.002826587
75,-0.002858293
76,-0.002791595
77,-0.002472792
78,-0.001709721
79,2.99E-05
80,0.002253491
81,0.004811072
82,0.007201409
83,0.009109119
84,0.010083115
85,0.010689438
86,0.011214231
87,0.011316235
88,0.010937323
89,0.010236405
90,0.009005764
91,0.007790388
92,0.007077045
93,0.006919577
94,0.007383132
95,0.008095143
96,0.009161877
97,0.010687627
98,0.012037305
99,0.013337147
100,0.014640776
101,0.015289133
102,0.016129538
103,0.017248043
104,0.01835581
105,0.019106764
106,0.019843878
107,0.020363683
108,0.020848204
109,0.021327063
110,0.022568143
111,0.024095617
112,0.025851755
113,0.027847387
114,0.029369923
115,0.030309997
116,0.030402268
117,0.029892795
118,0.029222507
119,0.027943501
120,0.026316726
121,0.023646344
122,0.020548918
123,0.017410891
124,0.014707651
125,0.012432064
126,0.010684415
127,0.009396226
128,0.008249641
129,0.007353037
130,0.006137355
131,0.004935447
132,0.003444461
133,0.001966366
134,0.000580852
135,-0.001037984
136,-0.002654457
137,-0.00425069
138,-0.006184083
139,-0.008444257
140,-0.010660159
141,-0.012408213
142,-0.013035108
143,-0.013712698
144,-0.014226254
145,-0.014373719
146,-0.014353757
147,-0.014889049
148,-0.015923757
149,-0.017072746
150,-0.018416477
151,-0.019748395
152,-0.021398639
153,-0.023130835
154,-0.025044933
155,-0.02740054
156,-0.029379411
157,-0.030990693
158,-0.031711813
159,-0.03139198
160,-0.030989709
161,-0.029769416
162,-0.028699101
163,-0.02748481
164,-0.026815981
165,-0.02590998
166,-0.025205267
167,-0.023899407
168,-0.022633751
169,-0.02196551
170,-0.021472632
171,-0.021025859
172,-0.020410317
173,-0.019143067
174,-0.01723081
175,-0.015330528
176,-0.012205992
177,-0.009402382
178,-0.006517643
179,-0.004679506
180,-0.003506496
181,-0.002026239
182,-0.001488535
183,-0.00085776
184,-0.000607136
185,-0.000329014
186,-0.001124932
187,-0.002232639
188,-0.003339528
189,-0.003990188
190,-0.004131408
191,-0.003653322
192,-0.002743742
193,-0.002033514
194,-0.001598217
195,-0.001744304
196,-0.001447765
197,-0.001020796
198,-0.000726716
199,-0.000420749
200,-0.0006807
201,-0.000548179
202,-0.001242551
